Bore,BH 18-4,
,304.277,
Date and Time,mAHD,
6/07/2012 11:00,299.367,
6/07/2012 11:15,299.332,
6/07/2012 11:30,299.297,
6/07/2012 11:45,299.28,
6/07/2012 12:00,299.269,
6/07/2012 12:15,299.259,
6/07/2012 12:30,299.252,
6/07/2012 12:45,299.245,
6/07/2012 13:00,299.24,
6/07/2012 13:15,299.237,
6/07/2012 13:30,299.235,
6/07/2012 13:45,299.234,
6/07/2012 14:00,299.233,
6/07/2012 14:15,299.232,
6/07/2012 14:30,299.229,
6/07/2012 14:45,299.227,
6/07/2012 15:00,299.226,
6/07/2012 15:15,299.224,
6/07/2012 15:30,299.223,
6/07/2012 15:45,299.222,
6/07/2012 16:00,299.224,
6/07/2012 16:15,299.223,
6/07/2012 16:30,299.221,
6/07/2012 16:45,299.221,
6/07/2012 17:00,299.219,
6/07/2012 17:15,299.218,
6/07/2012 17:30,299.218,
6/07/2012 17:45,299.216,
6/07/2012 18:00,299.215,
6/07/2012 18:15,299.214,
6/07/2012 18:30,299.213,
6/07/2012 18:45,299.211,
6/07/2012 19:00,299.209,
6/07/2012 19:15,299.209,
6/07/2012 19:30,299.207,
6/07/2012 19:45,299.206,
6/07/2012 20:00,299.206,
6/07/2012 20:15,299.204,
6/07/2012 20:30,299.202,
6/07/2012 20:45,299.201,
6/07/2012 21:00,299.199,
6/07/2012 21:15,299.197,
6/07/2012 21:30,299.195,
6/07/2012 21:45,299.195,
6/07/2012 22:00,299.196,
6/07/2012 22:15,299.195,
6/07/2012 22:30,299.194,
6/07/2012 22:45,299.195,
6/07/2012 23:00,299.194,
6/07/2012 23:15,299.194,
6/07/2012 23:30,299.191,
6/07/2012 23:45,299.19,
7/07/2012 0:00,299.19,
7/07/2012 0:15,299.189,
7/07/2012 0:30,299.189,
7/07/2012 0:45,299.189,
7/07/2012 1:00,299.19,
7/07/2012 1:15,299.19,
7/07/2012 1:30,299.19,
7/07/2012 1:45,299.188,
7/07/2012 2:00,299.186,
7/07/2012 2:15,299.185,
7/07/2012 2:30,299.184,
7/07/2012 2:45,299.185,
7/07/2012 3:00,299.186,
7/07/2012 3:15,299.187,
7/07/2012 3:30,299.186,
7/07/2012 3:45,299.187,
7/07/2012 4:00,299.186,
7/07/2012 4:15,299.187,
7/07/2012 4:30,299.188,
7/07/2012 4:45,299.188,
7/07/2012 5:00,299.189,
7/07/2012 5:15,299.189,
7/07/2012 5:30,299.19,
7/07/2012 5:45,299.191,
7/07/2012 6:00,299.191,
7/07/2012 6:15,299.19,
7/07/2012 6:30,299.189,
7/07/2012 6:45,299.189,
7/07/2012 7:00,299.188,
7/07/2012 7:15,299.189,
7/07/2012 7:30,299.187,
7/07/2012 7:45,299.185,
7/07/2012 8:00,299.183,
7/07/2012 8:15,299.181,
7/07/2012 8:30,299.18,
7/07/2012 8:45,299.179,
7/07/2012 9:00,299.178,
7/07/2012 9:15,299.176,
7/07/2012 9:30,299.173,
7/07/2012 9:45,299.17,
7/07/2012 10:00,299.166,
7/07/2012 10:15,299.162,
7/07/2012 10:30,299.159,
7/07/2012 10:45,299.156,
7/07/2012 11:00,299.153,
7/07/2012 11:15,299.152,
7/07/2012 11:30,299.151,
7/07/2012 11:45,299.15,
7/07/2012 12:00,299.149,
7/07/2012 12:15,299.148,
7/07/2012 12:30,299.149,
7/07/2012 12:45,299.151,
7/07/2012 13:00,299.152,
7/07/2012 13:15,299.153,
7/07/2012 13:30,299.154,
7/07/2012 13:45,299.155,
7/07/2012 14:00,299.155,
7/07/2012 14:15,299.156,
7/07/2012 14:30,299.157,
7/07/2012 14:45,299.157,
7/07/2012 15:00,299.16,
7/07/2012 15:15,299.16,
7/07/2012 15:30,299.16,
7/07/2012 15:45,299.16,
7/07/2012 16:00,299.161,
7/07/2012 16:15,299.16,
7/07/2012 16:30,299.16,
7/07/2012 16:45,299.16,
7/07/2012 17:00,299.16,
7/07/2012 17:15,299.16,
7/07/2012 17:30,299.161,
7/07/2012 17:45,299.162,
7/07/2012 18:00,299.164,
7/07/2012 18:15,299.165,
7/07/2012 18:30,299.165,
7/07/2012 18:45,299.165,
7/07/2012 19:00,299.164,
7/07/2012 19:15,299.162,
7/07/2012 19:30,299.161,
7/07/2012 19:45,299.16,
7/07/2012 20:00,299.16,
7/07/2012 20:15,299.159,
